signal_time,entry_time,exit_time,calendar_year,trend_regime,volatility_regime,regime,trend_90d,volatility_30d,trend_threshold_past_median,volatility_threshold_past_median,exit_reason,net_return,initial_risk_return,result_r
2021-08-31T15:00:00+00:00,2021-08-31T16:00:00+00:00,2021-09-01T05:00:00+00:00,2021,strong,low,strong_low,0.24733741999639247,0.17075443753870326,-0.22339206113351728,0.25647525521455566,take,0.029777358536932853,0.02315801890269972,1.285833588013069
2021-09-01T07:00:00+00:00,2021-09-01T08:00:00+00:00,2021-09-01T16:00:00+00:00,2021,strong,low,strong_low,0.222162944187271,0.1689242239258033,-0.2222310448513657,0.2562405280489467,take,0.02806742461278421,0.02187556845958819,1.2830489257746394
2021-09-08T16:00:00+00:00,2021-09-08T17:00:00+00:00,2021-09-09T17:00:00+00:00,2021,strong,low,strong_low,0.2616582232565343,0.1711848148609504,-0.19809976672566393,0.2462252428570038,time,0.00621599555233321,0.04118784514553787,0.15091820245436235
2021-09-11T10:00:00+00:00,2021-09-11T11:00:00+00:00,2021-09-12T08:00:00+00:00,2021,strong,low,strong_low,0.2706130495971708,0.17128234786698537,-0.18624450606977333,0.24399724781496723,take,0.034547311226817846,0.026810483420113437,1.2885747222633137
2021-09-13T23:00:00+00:00,2021-09-14T00:00:00+00:00,2021-09-14T22:00:00+00:00,2021,strong,low,strong_low,0.12067667243251545,0.18021012858792293,-0.17434664777847264,0.24272034730916894,take,0.037104224101269664,0.02865316807595223,1.294943163105589
2021-09-21T07:00:00+00:00,2021-09-21T08:00:00+00:00,2021-09-21T16:00:00+00:00,2021,strong,low,strong_low,0.27453294592647115,0.1830291044190711,-0.08958032025510776,0.23817938174361555,stop,-0.03996664996714318,0.038866649967143126,-1.0283018989527002
2021-09-22T06:00:00+00:00,2021-09-22T07:00:00+00:00,2021-09-22T18:00:00+00:00,2021,strong,low,strong_low,0.28264373959894407,0.19031298351601753,-0.08228640269337445,0.23773942659690747,take,0.051999962910121864,0.039824972182591414,1.305712472860244
2021-09-24T21:00:00+00:00,2021-09-24T22:00:00+00:00,2021-09-25T08:00:00+00:00,2021,strong,low,strong_low,0.36710432049033215,0.2005974759238777,-0.05542471413058747,0.23692926489006555,stop,-0.03232981242494459,0.031329812424944606,-1.0319184802780303
2021-10-07T20:00:00+00:00,2021-10-07T21:00:00+00:00,2021-10-08T05:00:00+00:00,2021,strong,low,strong_low,0.6184448419747417,0.2038504646823021,0.07091318030667737,0.23030783381953043,stop,-0.021899741353400004,0.020899741353400045,-1.047847482085575
2021-10-27T04:00:00+00:00,2021-10-27T05:00:00+00:00,2021-10-27T07:00:00+00:00,2021,strong,low,strong_low,0.5328937948987509,0.17631520994681776,0.21102976534164586,0.21606589336730636,stop,-0.018420558927396802,0.01742055892739679,-1.0574034394744558
