date,daily_return,equity_multiple
2024-12-29,-0.0055346711,6.9878997535
2024-12-30,0.0040145348,7.0159529202
2024-12-31,-0.0007893928,7.0104145772
2025-01-01,-0.0019456755,6.9967745850
2025-01-02,0.0031691820,7.0189486374
2025-01-03,-0.0070755535,6.9692856910
2025-01-04,0.0047687207,7.0025202677
2025-01-05,-0.0067104654,6.9555300977
2025-01-06,0.0097566298,7.0233926300
2025-01-07,0.0066182380,7.0698751142
2025-01-08,0.0122557292,7.1565215887
2025-01-09,-0.0052913480,7.1186539426
2025-01-10,-0.0009225622,7.1120865412
2025-01-11,-0.0073476211,7.0598296243
2025-01-12,0.0058605183,7.1012038846
2025-01-13,0.0061667599,7.1449953043
2025-01-14,-0.0079456363,7.0882237704
2025-01-15,-0.0218213192,6.9335493766
2025-01-16,0.0024197397,6.9503267613
2025-01-17,0.0081499863,7.0069718291
2025-01-18,0.0383121109,7.2754237106
2025-01-19,-0.0023627325,7.2582338304
2025-01-20,-0.0089582716,7.1932126001
2025-01-21,-0.0017279607,7.1807830116
2025-01-22,0.0123431975,7.2694168343
2025-01-23,-0.0134432662,7.1716921289
2025-01-24,0.0002333000,7.1733652850
2025-01-25,-0.0002716418,7.1714166991
2025-01-26,-0.0130842265,7.0775842587
2025-01-27,0.0170346699,7.1981485703
2025-01-28,-0.0065141105,7.1512590350
2025-01-29,-0.0047014189,7.1176379704
2025-01-30,0.0001335719,7.1185886867
2025-01-31,-0.0008927179,7.1122337955
2025-02-01,-0.0094504561,7.0450199423
2025-02-02,0.0137378552,7.1418034059
2025-02-03,0.0070744198,7.1923275210
2025-02-04,0.0071418551,7.2436940822
2025-02-05,-0.0001918635,7.2423042816
2025-02-06,-0.0129562357,7.1484712801
2025-02-07,-0.0009819399,7.1414519105
2025-02-08,0.0201855377,7.2856059575
2025-02-09,-0.0000004173,7.2856029170
2025-02-10,0.0013783875,7.2956453013
2025-02-11,0.0281545977,7.5010512601
2025-02-12,0.0038588153,7.5299964315
2025-02-13,-0.0007138827,7.5246208972
2025-02-14,-0.0060619690,7.4790068788
2025-02-15,-0.0046542621,7.4441976207
2025-02-16,0.0028217164,7.4652030352
2025-02-17,0.0043778510,7.4978845821
2025-02-18,-0.0075218468,7.4414866432
2025-02-19,-0.0047798773,7.4059172501
2025-02-20,0.0063399590,7.4528704619
2025-02-21,-0.0045692353,7.4188165433
2025-02-22,-0.0004748002,7.4152940881
2025-02-23,-0.0032568707,7.3911434342
2025-02-24,-0.0140154581,7.2875531732
2025-02-25,0.0072265656,7.3402171542
2025-02-26,0.0238974423,7.5156295700
2025-02-27,0.0075614800,7.5724588530
2025-02-28,-0.0005946962,7.5679555402
2025-03-01,0.0079765413,7.6283216500
2025-03-02,-0.0959860466,6.8961092129
2025-03-03,0.0238172867,7.0603558233
2025-03-04,-0.0025510174,7.0423447329
2025-03-05,0.0038736762,7.0696244959
2025-03-06,-0.0091455047,7.0049692118
2025-03-07,0.0071706249,7.0551992183
