side,signal_time,entry_time,exit_time,entry,exit,exit_reason,gross_return,funding_return,cost_return,net_return,initial_risk_return,result_r,mae_r,mfe_r
long,2021-05-14T04:00:00+00:00,2021-05-14T05:00:00+00:00,2021-05-14T13:00:00+00:00,3801.6,4056.1633333333334,take,0.06696215628507307,0.0,0.001,0.06596215628507307,0.05022161721380471,1.313421589039185,-0.12015346541135878,1.3917165341958126
long,2021-05-17T08:00:00+00:00,2021-05-17T09:00:00+00:00,2021-05-17T14:00:00+00:00,3541.89,3367.24125,stop,-0.049309478837569753,0.0,0.001,-0.050309478837569754,0.049309478837569774,-1.0202800764391382,-1.0759882335258626,0.0788439653876698
long,2021-05-18T09:00:00+00:00,2021-05-18T10:00:00+00:00,2021-05-18T14:00:00+00:00,3473.42,3318.136875,stop,-0.0447061181774735,0.0,0.001,-0.0457061181774735,0.04470611817747352,-1.0223683030593307,-1.3743927422892865,0.6236994522102749
long,2021-05-18T20:00:00+00:00,2021-05-18T21:00:00+00:00,2021-05-19T01:00:00+00:00,3432.0,3287.188125,stop,-0.0421946022727272,-0.0001,0.001,-0.0432946022727272,0.04219460227272728,-1.0260696852381734,-1.8743628587089263,0.23962123272003863
long,2021-05-20T07:00:00+00:00,2021-05-20T08:00:00+00:00,2021-05-21T08:00:00+00:00,2711.9,2703.6,time,-0.0030605848298241867,-0.00030000000000000003,0.001,-0.004360584829824187,0.14648701095173122,-0.029767723441780365,-0.3593884958300099,0.7021882812340206
long,2021-05-22T10:00:00+00:00,2021-05-22T11:00:00+00:00,2021-05-22T19:00:00+00:00,2464.0,2263.398125,stop,-0.0814130986201298,0.0,0.001,-0.0824130986201298,0.08141309862012985,-1.0122830357393213,-1.0576670831217316,0.12786520564675818
long,2021-05-23T20:00:00+00:00,2021-05-23T21:00:00+00:00,2021-05-24T07:00:00+00:00,2063.93,2283.6025,take,0.1064340844892997,0.0,0.001,0.1054340844892997,0.07982556336697465,1.3208060180495986,-0.1088286729866806,1.4100991248335606
long,2021-05-25T21:00:00+00:00,2021-05-25T22:00:00+00:00,2021-05-26T02:00:00+00:00,2612.01,2802.6483333333335,take,0.07298529995418601,0.0,0.001,0.07198529995418601,0.054738974965639446,1.3150648144100683,-0.044622015509299395,1.6391246951032903
long,2021-05-27T09:00:00+00:00,2021-05-27T10:00:00+00:00,2021-05-28T01:00:00+00:00,2791.65,2675.79,stop,-0.04150233732738706,-0.0001,0.001,-0.042602337327387066,0.041502337327387034,-1.0265045313309173,-1.0844985327118941,0.6872087001553591
long,2021-05-30T05:00:00+00:00,2021-05-30T06:00:00+00:00,2021-05-31T06:00:00+00:00,2369.99,2389.44,time,0.008206785682640216,0.0,0.001,0.007206785682640216,0.04274332381149289,0.16860611295517558,-0.9726434767586745,1.0546760281832686
long,2021-06-02T05:00:00+00:00,2021-06-02T06:00:00+00:00,2021-06-02T13:00:00+00:00,2639.08,2755.895,take,0.044263531230580355,-0.0001,0.001,0.04316353123058035,0.033197648422935225,1.3001984562484856,-0.12007590349412717,1.334531809556426
long,2021-06-04T21:00:00+00:00,2021-06-04T22:00:00+00:00,2021-06-04T23:00:00+00:00,2732.97,2650.125,stop,-0.03031317577580428,0.0,0.001,-0.03131317577580428,0.030313175775804314,-1.0329889552779277,-1.0199770656044442,0.06795823525861983
long,2021-06-05T00:00:00+00:00,2021-06-05T01:00:00+00:00,2021-06-05T09:00:00+00:00,2768.49,2682.1875,stop,-0.031173130479069777,0.0,0.001,-0.03217313047906978,0.03117313047906979,-1.0320789084904836,-1.3497870861214887,0.5670751136989111
long,2021-06-06T05:00:00+00:00,2021-06-06T06:00:00+00:00,2021-06-07T01:00:00+00:00,2693.62,2795.3483333333334,take,0.037766401100872926,-0.0001,0.001,0.03666640110087292,0.02832480082565468,1.2944981087973966,-0.6144469747857881,1.3811950128610568
