key,family,signal_tf_minutes,fast_window,slow_window,entry_threshold,exit_threshold,stop_atr,take_atr,max_holding_bars,valid,zero_trade,invalid_reason,trades,net_pnl,net_return,daily_sharpe,annualized_sharpe,median_fold_sharpe,positive_folds,max_drawdown,active_assets,max_asset_positive_share,long_trades,short_trades,long_net_pnl,short_net_pnl,missing_bars,funding_events
c5d24eda0807e02f6822,B,15,8,13,0.01,0.003,1.5,4.0,48,True,False,,31939,-28134.27623556758,-0.2813427623556758,-0.009723369054660277,-0.18576470495546418,0.0,0,-2.5559503159658545,10,0.15458422235434785,16518,15421,-8726.703220226027,-19407.573015341637,0,9363
c5e7ffc1662c14fa8b34,B,60,8,13,0.0,0.0,1.5,4.0,24,True,False,,71987,-62723.658558911586,-0.6272365855891159,0.006814270014724254,0.13018644583539823,0.0,1,-6.274257389780873,10,0.15177395439878283,35987,36000,-28394.762504128375,-34328.896054782585,3,13681
c5fa3d8ba3912f76c1de,A,15,8,13,0.0,0.003,1.5,2.0,12,True,False,,172942,-89904.6016159682,-0.899046016159682,-0.02376916706575419,-0.45410929917246,0.0,0,-8.99046016159674,10,0.12978097004372652,87289,85653,-45153.40406041465,-44751.19755555297,7,16753
c5fcd13497403b2c9e21,A,15,5,13,0.005,0.0,1.5,3.0,24,True,False,,37813,-45795.85637900346,-0.4579585637900346,-0.04765708028505327,-0.9104872404229752,0.0,0,-4.395262627743267,10,0.14682832848058025,19185,18628,-19744.126203756197,-26051.73017524676,5,6936
c62300fee8481513225a,A,15,3,13,0.01,0.003,2.5,4.0,48,True,False,,17311,-29753.246711828644,-0.29753246711828646,-0.006813857791524016,-0.13017857032221578,0.0,0,-2.800725275910367,10,0.16049887914139907,8632,8679,-7958.692349240702,-21794.554362587758,2,6168
c633fecf0dd09dae99fe,B,15,3,21,0.005,0.003,1.5,2.0,24,True,False,,67356,-55072.71390311715,-0.5507271390311714,-0.05881261346127561,-1.1236134025024251,0.0,0,-5.221470963678315,10,0.16242554604696677,34299,33057,-24832.624011184616,-30240.08989193355,2,11293
c658353563b422a0f9d5,B,60,8,13,0.005,0.0,1.5,2.0,24,True,False,,47296,-48938.87206427364,-0.48938872064273636,-0.03793428333564588,-0.7247334655230204,0.0,0,-4.897514134307434,10,0.1584064495694123,23822,23474,-22691.15567511503,-26247.716389158322,3,9165
c6635506947f12f55b03,A,60,5,13,0.005,0.0,2.5,3.0,48,True,False,,25771,-19728.675340277434,-0.19728675340277435,-0.007859906391589027,-0.15016330076572584,-0.15480286747073976,1,-1.7320616931938306,10,0.16582297486386688,12952,12819,-3650.315375404005,-16078.359964873542,6,10443
c6661ad6d561e7c85b04,B,60,3,21,0.0,0.003,1.5,3.0,48,True,False,,34433,-41223.369825971255,-0.41223369825971257,-0.046944966203083804,-0.8968823199897344,0.0,0,-3.896917017044549,10,0.15383586272377975,17351,17082,-19085.39269235447,-22137.97713361668,2,13692
c66a72d62d1265be4449,B,60,5,21,0.0,0.0,2.5,4.0,12,True,False,,110248,-77194.5236790388,-0.771945236790388,-0.0643176943107231,-1.2287878244548087,0.0,0,-7.4803344491811945,10,0.16236807783156812,55054,55194,-35175.5875656971,-42018.936113341915,2,7426
c66ee43b42340426f616,B,15,3,13,0.005,0.003,1.5,3.0,48,True,False,,54210,-47525.22744194607,-0.47525227441946066,-0.017350186972178515,-0.33147485667677246,0.0,0,-4.0962444540491,10,0.1615869420237463,27627,26583,-21288.066928370634,-26237.16051357495,1,14977
c67297421d76f23b7cb5,A,60,5,34,0.01,0.003,1.5,3.0,12,True,False,,106570,-70506.1022506582,-0.705061022506582,-0.01645988175120086,-0.314465599312839,0.0,0,-6.988374611461187,10,0.1750300836738108,54093,52477,-30032.698711438457,-40473.40353921892,3,8229
c673e5dd4078bfe8d723,B,60,8,21,0.0,0.0,2.0,2.0,24,True,False,,65674,-61199.2490964182,-0.611992490964182,-0.07719796956948691,-1.4748651377542186,0.0,0,-5.825823800245676,10,0.1493821579751414,32966,32708,-27713.54127439466,-33485.70782202402,2,12818
c68c8af361f8008aeda3,B,15,5,13,0.005,0.003,2.5,3.0,24,True,False,,54413,-47694.45002509436,-0.4769445002509436,0.0006393055949823114,0.012213916242472183,0.0,1,-4.741841044056793,10,0.16466718475072195,27424,26989,-18766.728456311193,-28927.721568783483,2,11596
c699e27c30c769ee7f45,A,60,3,34,0.005,0.0,2.0,2.0,48,True,False,,42891,-37545.112555016494,-0.37545112555016497,0.01179825200916876,0.22540528814166483,0.0,1,-3.3715033034886663,10,0.1669867481448042,21528,21363,-14170.566978500614,-23374.545576516033,8,16159
c6ab07826c309ca9acf3,B,60,5,34,0.0,0.0,2.5,3.0,12,True,False,,99719,-72496.7017152666,-0.724967017152666,-0.08545166054379331,-1.6325516824093087,0.0,0,-7.249670171526737,10,0.1532000866361979,49962,49757,-34975.56848074512,-37521.13323452254,1,6740
c6b39e26327f5f985201,A,60,5,34,0.01,0.0,2.5,4.0,48,True,False,,29860,-21740.972310531204,-0.21740972310531204,-0.058419937021686956,-1.1161113296578091,-0.46097021512475633,1,-1.7493894027935677,10,0.18197769990536056,15151,14709,-2717.564733489342,-19023.407577041853,3,11905
c6cf3e516e75e212a7dd,A,15,5,13,0.01,0.0,2.0,4.0,48,True,False,,12487,-26503.810690076603,-0.265038106900766,-0.03698344402669549,-0.7065677060322224,0.0,0,-2.584309604215457,10,0.1676327544120437,6218,6269,-6212.725405024225,-20291.08528505235,2,4112
c6d1e15960ab1bb79f2c,A,60,5,13,0.01,0.0,2.5,4.0,48,True,False,,15827,-6868.038761280938,-0.06868038761280938,-0.03984776924206902,-0.7612905624351003,-1.5768232484852907,1,-0.8187389343464446,10,0.18589193361014705,8033,7794,4695.386666341079,-11563.425427622062,2,6567
c6d7315d3f35b5555c9a,A,15,3,21,0.0,0.003,2.5,3.0,12,True,False,,154311,-86096.21206384258,-0.8609621206384258,-0.06799509203244168,-1.2990444092803672,0.0,0,-8.609621206384329,10,0.13741362216399647,77766,76545,-43644.74466260238,-42451.46740124081,8,16496
c6e0fda34fb7e3b4cdb5,B,15,8,34,0.005,0.0,1.5,4.0,24,True,False,,69814,-57290.546742361155,-0.5729054674236116,-0.01243397158434814,-0.23755069357199862,0.0,0,-5.623585076670376,10,0.1588050530562854,35819,33995,-25135.602351532565,-32154.94439082855,1,12744
c6e4bc92361f58438c7a,B,60,5,21,0.005,0.0,2.0,4.0,12,True,False,,75995,-63253.08071445695,-0.6325308071445694,0.01460169256385504,0.2789649447353716,0.0,1,-6.109630217645136,10,0.17319908942774756,38316,37679,-28862.7367726616,-34390.343941795014,1,5304
c700a5cb9a94da7eeff4,A,15,3,21,0.0,0.003,2.5,3.0,48,True,False,,62426,-54219.553898356564,-0.5421955389835657,0.016010020077877704,0.30587100411174517,0.0,1,-5.421760538362353,10,0.13944103239594693,31289,31137,-26304.82470191497,-27914.7291964417,8,20464
c70f19a9e4b3ff64c215,B,60,8,34,0.005,0.0,2.0,4.0,48,True,False,,27110,-31307.06187599069,-0.3130706187599069,-0.027956890341317264,-0.534115640014501,0.0,0,-2.9882172745358675,10,0.1412658642075185,13876,13234,-15150.052180702827,-16157.009695287754,1,11391
c72f6f4a4b3153b13963,A,15,8,13,0.005,0.0,2.0,2.0,48,True,False,,19681,-36474.68722103655,-0.36474687221036545,-0.04517543334863649,-0.8630754422740463,0.0,0,-3.5564982893377257,10,0.17171860929776658,9968,9713,-11911.295991324389,-24563.39122971203,2,5187
