cost_scenario,vwap_hours,stop_atr,take_atr,hold_hours,is_baseline,is_immediate_neighbor,threshold,rv_median,trades,expectancy_r,total_r,profit_factor_r,max_drawdown_r,best_5_share
round_trip_0_12pct,12,1.2,1.5,36,False,False,0.006594809855180683,0.03188585280881554,75,0.00834742908897276,0.626057181672957,1.0156081962823322,-11.36136777332405,9.690476438093427
round_trip_0_16pct,12,1.2,1.5,36,False,False,0.006594809855180683,0.03188585280881554,75,-0.015611432979975394,-1.1708574734981545,0.971495205251589,-11.953565050591667,-5.12964910228045
round_trip_0_05pct,12,1.2,1.5,48,False,False,0.006594809855180683,0.03188585280881554,75,0.013467035454502044,1.0100276590876534,1.024365460167168,-10.598861231438491,6.11298072263781
round_trip_0_10pct,12,1.2,1.5,48,False,False,0.006594809855180683,0.03188585280881554,75,-0.016481542131683072,-1.2361156598762304,0.9710304492995279,-12.049799949324388,-4.932775359971162
round_trip_0_12pct,12,1.2,1.5,48,False,False,0.006594809855180683,0.03188585280881554,75,-0.028460973166157047,-2.1345729874617785,0.9505381753989774,-12.630175436478744,-2.842157379268156
round_trip_0_16pct,12,1.2,1.5,48,False,False,0.006594809855180683,0.03188585280881554,75,-0.0524198352351052,-3.9314876426328897,0.9109091019771921,-13.790926410787463,-1.5276883800163563
round_trip_0_05pct,12,1.2,2.0,12,False,False,0.006594809855180683,0.03188585280881554,72,0.08249185298267765,5.939413414752791,1.1603759564273275,-11.944796864704944,1.3903794904409903
round_trip_0_10pct,12,1.2,2.0,12,False,False,0.006594809855180683,0.03188585280881554,72,0.05230248905009431,3.7657792116067905,1.0985116403835398,-12.700699782719845,2.172947276422233
round_trip_0_12pct,12,1.2,2.0,12,False,False,0.006594809855180683,0.03188585280881554,72,0.040226743477061025,2.8963255303483937,1.0748151820906375,-13.003060949925803,2.814968938305004
round_trip_0_16pct,12,1.2,2.0,12,False,False,0.006594809855180683,0.03188585280881554,72,0.016075252330994275,1.1574181678315878,1.0291610719328599,-13.60778328433773,6.992736135875372
round_trip_0_05pct,12,1.2,2.0,24,False,False,0.006594809855180683,0.03188585280881554,71,0.051852356356961435,3.681517301344262,1.0952232929184749,-14.557963635156032,2.2431073715467926
round_trip_0_10pct,12,1.2,2.0,24,False,False,0.006594809855180683,0.03188585280881554,71,0.021458301684910513,1.5235394196286465,1.038107765732829,-15.298210231740546,5.369890500696489
round_trip_0_12pct,12,1.2,2.0,24,False,False,0.006594809855180683,0.03188585280881554,71,0.009300679816090198,0.6603482669424041,1.01630212166691,-15.594308870374352,12.342760280951355
round_trip_0_16pct,12,1.2,2.0,24,False,False,0.006594809855180683,0.03188585280881554,71,-0.01501456392155061,-1.0660340384300933,0.9743502266537493,-16.18650614764197,-7.588014150605131
round_trip_0_05pct,12,1.2,2.0,36,False,False,0.006594809855180683,0.03188585280881554,71,0.08795297712076032,6.244661375573982,1.1592259104795182,-11.747331927585131,1.3224157565090269
round_trip_0_10pct,12,1.2,2.0,36,False,False,0.006594809855180683,0.03188585280881554,71,0.0575589224487094,4.086683493858367,1.1009254589011357,-12.487578524169642,2.001926469029375
round_trip_0_12pct,12,1.2,2.0,36,False,False,0.006594809855180683,0.03188585280881554,71,0.04540130057988909,3.223492341172125,1.0786191079252863,-12.78367716280345,2.5284751748000365
round_trip_0_16pct,12,1.2,2.0,36,False,False,0.006594809855180683,0.03188585280881554,71,0.02108605684224828,1.4971100357996279,1.03562854359631,-13.375874440071067,5.4031308155073505
round_trip_0_05pct,12,1.2,2.0,48,False,False,0.006594809855180683,0.03188585280881554,71,0.07890847036546496,5.602501395948012,1.1343705788424967,-10.542346769408507,1.4739913502020656
round_trip_0_10pct,12,1.2,2.0,48,False,False,0.006594809855180683,0.03188585280881554,71,0.04851441569341403,3.4445235142323964,1.0801655536778707,-11.282593365993023,2.3751441449293402
round_trip_0_12pct,12,1.2,2.0,48,False,False,0.006594809855180683,0.03188585280881554,71,0.03635679382459373,2.581332361546155,1.05937248360114,-11.578692004626827,3.1574858325991797
round_trip_0_16pct,12,1.2,2.0,48,False,False,0.006594809855180683,0.03188585280881554,71,0.012041550086952922,0.8549500561736575,1.0192143080392642,-12.170889281894446,9.461466561961636
round_trip_0_05pct,12,1.2,2.5,12,False,False,0.006594809855180683,0.03188585280881554,68,-0.0017568709050053996,-0.11946722154036718,0.9967903371039601,-12.359243472338859,-86.1431838274759
round_trip_0_10pct,12,1.2,2.5,12,False,False,0.006594809855180683,0.03188585280881554,68,-0.03212383939744916,-2.1844210790265426,0.9431880594919889,-13.087786629419632,-4.6554282922424095
round_trip_0_12pct,12,1.2,2.5,12,False,False,0.006594809855180683,0.03188585280881554,68,-0.044270626794426615,-3.01040262202101,0.9227130059383866,-13.379203892251942,-3.3625575038152467
round_trip_0_16pct,12,1.2,2.5,12,False,False,0.006594809855180683,0.03188585280881554,68,-0.0685642015883817,-4.662365708009955,0.8833171857212451,-13.962038417916563,-2.1513861237040826
round_trip_0_05pct,12,1.2,2.5,24,False,False,0.006594809855180683,0.03188585280881554,67,-0.044474152231434444,-2.9797681995061076,0.9249928182781423,-14.561568178322332,-3.4596754267883476
round_trip_0_10pct,12,1.2,2.5,24,False,False,0.006594809855180683,0.03188585280881554,67,-0.07506068262032684,-5.029065735561898,0.8776279177853995,-15.409763214445324,-2.0295611529038715
round_trip_0_12pct,12,1.2,2.5,24,False,False,0.006594809855180683,0.03188585280881554,67,-0.08729529477588374,-5.848784749984211,0.8595920134278079,-15.749041228894516,-1.738122215268684
round_trip_0_16pct,12,1.2,2.5,24,False,False,0.006594809855180683,0.03188585280881554,67,-0.11176451908699772,-7.488222778828847,0.8249347692700691,-16.427597257792915,-1.3466633555206782
round_trip_0_05pct,12,1.2,2.5,36,False,False,0.006594809855180683,0.03188585280881554,67,-0.00801603416654432,-0.5370742891584694,0.9870127802894689,-11.604322248466566,-19.199617029617755
round_trip_0_10pct,12,1.2,2.5,36,False,False,0.006594809855180683,0.03188585280881554,67,-0.03860256455543671,-2.5863718252142593,0.9394395627582397,-12.436806663610707,-3.9524575286539063
round_trip_0_12pct,12,1.2,2.5,36,False,False,0.006594809855180683,0.03188585280881554,67,-0.05083717671099362,-3.4060908396365726,0.9212438570901942,-12.769800429668361,-2.9907853083628373
round_trip_0_16pct,12,1.2,2.5,36,False,False,0.006594809855180683,0.03188585280881554,67,-0.07530640102210759,-5.045528868481209,0.8861854770761024,-13.435787961783678,-2.0048660913746765
round_trip_0_05pct,12,1.2,2.5,48,False,False,0.006594809855180683,0.03188585280881554,67,9.479701101104087e-05,0.006351399737739738,1.0001449112266427,-9.566003756956608,1623.5193963663796
round_trip_0_10pct,12,1.2,2.5,48,False,False,0.006594809855180683,0.03188585280881554,67,-0.030491733377881355,-2.0429461363180508,0.9547848840247335,-10.398488172100748,-5.003815132830784
round_trip_0_12pct,12,1.2,2.5,48,False,False,0.006594809855180683,0.03188585280881554,67,-0.04272634553343826,-2.862665150740363,0.9373926437990358,-10.731481938158403,-3.5585323136726963
round_trip_0_16pct,12,1.2,2.5,48,False,False,0.006594809855180683,0.03188585280881554,67,-0.06719556984455223,-4.502103179584999,0.9038149434754038,-11.39746947027372,-2.246863152168464
round_trip_0_05pct,12,1.2,3.0,12,False,False,0.006594809855180683,0.03188585280881554,67,-0.002781322732641672,-0.18634862308699202,0.9950280819707771,-11.942576805672168,-66.24170363840449
round_trip_0_10pct,12,1.2,3.0,12,False,False,0.006594809855180683,0.03188585280881554,67,-0.03335167470819611,-2.2345622054491394,0.9423435684918098,-12.671119962752945,-5.4599949495810876
round_trip_0_12pct,12,1.2,3.0,12,False,False,0.006594809855180683,0.03188585280881554,67,-0.04557981549841783,-3.0538476383939948,0.922247227273358,-12.962537225585255,-3.9765101424314917
