scheme,cost_scenario,window,calibration_start,calibration_stop,oos_start,oos_stop,threshold,rv_median,trades,expectancy_r,total_r,profit_factor_r,max_drawdown_r,compounded_return
rolling_12m_3m,round_trip_0_10pct,11,2023-07-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,2024-07-01T00:00:00+00:00,2024-09-30T23:00:00+00:00,0.006417512187578467,0.021351140422050097,13,0.12373575472715187,1.6085648114529743,1.3016257872370482,-2.1501935721643157,0.09967095120903524
rolling_12m_3m,round_trip_0_10pct,12,2023-10-01T00:00:00+00:00,2024-09-30T23:00:00+00:00,2024-10-01T00:00:00+00:00,2024-12-31T18:00:00+00:00,0.008789579082230992,0.02429108814951584,11,0.045394883656884925,0.4993437202257342,1.1082051285255397,-3.2050156897323294,0.01768375511059661
rolling_12m_3m,round_trip_0_12pct,1,2021-01-01T00:00:00+00:00,2021-12-31T23:00:00+00:00,2022-01-01T00:00:00+00:00,2022-03-31T23:00:00+00:00,0.01940523603707689,0.04322712021612439,2,0.12310918072529753,0.24621836145059506,1.233730774536058,-1.0534272260010444,0.021539195186218052
rolling_12m_3m,round_trip_0_12pct,2,2021-04-01T00:00:00+00:00,2022-03-31T23:00:00+00:00,2022-04-01T00:00:00+00:00,2022-06-30T23:00:00+00:00,0.017099510772168758,0.039839193121952166,10,-0.3392022728159246,-3.3920227281592457,0.5291089174759697,-4.874214012136954,-0.2491488924553099
rolling_12m_3m,round_trip_0_12pct,3,2021-07-01T00:00:00+00:00,2022-06-30T23:00:00+00:00,2022-07-01T00:00:00+00:00,2022-09-30T23:00:00+00:00,0.01399323117586726,0.036522808097565335,9,0.5851289975113075,5.266160977601768,4.442266738745154,-1.0524718816025125,0.13998039529156148
rolling_12m_3m,round_trip_0_12pct,4,2021-10-01T00:00:00+00:00,2022-09-30T23:00:00+00:00,2022-10-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,0.013324572832723591,0.03597968116512935,4,-0.4593659659565032,-1.8374638638260128,0.41672498489560544,-2.119665583311332,-0.014557820048682113
rolling_12m_3m,round_trip_0_12pct,5,2022-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,2023-01-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,0.011431985724523308,0.03405252165810479,2,0.09183229485529076,0.18366458971058153,1.1706917711923535,-1.0760014289359563,0.0031814836997339224
rolling_12m_3m,round_trip_0_12pct,6,2022-04-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,2023-04-01T00:00:00+00:00,2023-06-30T23:00:00+00:00,0.009810605881710455,0.030951055318177313,3,-0.01857755785885587,-0.05573267357656761,0.9564174219698662,-1.0798341515820074,-0.006061407046544676
rolling_12m_3m,round_trip_0_12pct,7,2022-07-01T00:00:00+00:00,2023-06-30T23:00:00+00:00,2023-07-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,0.0087056237010108,0.02581037886277187,1,-0.3035897596738121,-0.3035897596738121,0.0,-0.3035897596738121,-0.005042183235055009
rolling_12m_3m,round_trip_0_12pct,8,2022-10-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,2023-10-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,0.005531351537876983,0.01891389145192618,12,0.5409211644854784,6.491053973825741,2.9305336351377114,-2.153843915338425,0.07881662965728875
rolling_12m_3m,round_trip_0_12pct,9,2023-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2024-01-01T00:00:00+00:00,2024-03-31T23:00:00+00:00,0.0054518342492813066,0.018701477653569318,18,0.12308386444224054,2.2155095599603296,1.3242675718780825,-3.4537649929155294,0.09055712525136106
rolling_12m_3m,round_trip_0_12pct,10,2023-04-01T00:00:00+00:00,2024-03-31T23:00:00+00:00,2024-04-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,0.005875559877624781,0.018972445767982363,21,-0.09489773974355423,-1.9928525346146388,0.8310447526699211,-4.060862060595051,-0.0638269692718949
rolling_12m_3m,round_trip_0_12pct,11,2023-07-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,2024-07-01T00:00:00+00:00,2024-09-30T23:00:00+00:00,0.006417512187578467,0.021351140422050097,13,0.11365192471151365,1.4774750212496774,1.2737251853764884,-2.180232286597178,0.09683534220426138
rolling_12m_3m,round_trip_0_12pct,12,2023-10-01T00:00:00+00:00,2024-09-30T23:00:00+00:00,2024-10-01T00:00:00+00:00,2024-12-31T18:00:00+00:00,0.008789579082230992,0.02429108814951584,11,0.0353012189214817,0.3883134081362987,1.0828443244849728,-3.239921730522327,0.015450201575831102
rolling_12m_3m,round_trip_0_16pct,1,2021-01-01T00:00:00+00:00,2021-12-31T23:00:00+00:00,2022-01-01T00:00:00+00:00,2022-03-31T23:00:00+00:00,0.01940523603707689,0.04322712021612439,2,0.10859001874484009,0.21718003748968018,1.2027377500361784,-1.0712363013347266,0.0207303013636273
rolling_12m_3m,round_trip_0_16pct,2,2021-04-01T00:00:00+00:00,2022-03-31T23:00:00+00:00,2022-04-01T00:00:00+00:00,2022-06-30T23:00:00+00:00,0.017099510772168758,0.039839193121952166,10,-0.3520829525609847,-3.520829525609847,0.5158022773354989,-4.9436503852049825,-0.2522362964106687
rolling_12m_3m,round_trip_0_16pct,3,2021-07-01T00:00:00+00:00,2022-06-30T23:00:00+00:00,2022-07-01T00:00:00+00:00,2022-09-30T23:00:00+00:00,0.01399323117586726,0.036522808097565335,9,0.5693321805358071,5.123989624822264,4.281058044885988,-1.0696157735879437,0.13594124232968263
